id;verified_tier;name;domain;website;city;region;estimated_size;total;fibu_score;recruiting_score;digital_score;datev_score;size_score;growth_score;process_score;tools_score;decision_maker_score;trigger_score;summary;review_notes;contact_1_name;contact_1_role;linkedin_company;team_page_url;career_page_url
110;A;DATEV Unternehmen online | Steuerberater-Wirtschaftsprüfer | Götz, Baum & Nünke;steuerberater-kreuznach.de;https://www.steuerberater-kreuznach.de/datev.php;Stuttgart;muenchen_stuttgart;92;14;2;2;2;2;1;0;2;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, karriere, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, papierlos;;;;https://www.steuerberater-kreuznach.de/team.php;https://www.steuerberater-kreuznach.de/karriere/index.php
172;A;von Arps-Aubert + Partner — Steuerberatung in Berlin und München, digitale Buchführung.;arps-steuerberater.de;https://arps-steuerberater.de/de/;Berlin;berlin_brandenburg;76;13;2;2;2;2;1;0;2;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, karriere, wir suchen, verstärkung | Digital: digitalisierung, digitale kanzlei, datev, papierlos;;;;https://arps-steuerberater.de/de/kanzlei/;https://arps-steuerberater.de/de/karriere/
607;A;Steuerberater Hamburg | Winkel & Fach Steuerberatungsgesellschaft mbH;winkel-fach.de;https://www.winkel-fach.de/leistungen/finanzbuchfuehrung/;Hamburg;hamburg;53;16;2;2;2;2;1;0;2;2;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, debitoren | Recruiting: stellenangebot, karriere, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, mandantenportal;;;;https://www.winkel-fach.de/ueber-uns/;https://www.winkel-fach.de/karriere/
10;A;Steuerberatung München | Alexia Huber & Partner;steuerberaterin-huber.de;https://www.steuerberaterin-huber.de/;München;muenchen_stuttgart;39;13;2;2;2;2;1;1;0;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, jahresabschluss, bilanz | Recruiting: stellenangebot, karriere, jobs, bewerbung | Digital: digitalisierung, datev unternehmen online, datev, dms;;;;https://www.steuerberaterin-huber.de/steuerkanzlei/;https://www.steuerberaterin-huber.de/steuerkanzlei/stellenangebote/
96;A;Finkbeiner & Partner, Steuerberater und Wirtschaftsprüfer in Stuttgart Weilimdorf;finkbeiner-partner.de;https://www.finkbeiner-partner.de/digitale_kanzlei;Stuttgart;muenchen_stuttgart;36;12;1;2;2;2;1;0;1;1;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, rechnungswesen | Recruiting: karriere, steuerfachangestellte, (m/w/d) | Digital: digitalisierung, digitale kanzlei, datev, e-rechnung;;;;https://www.finkbeiner-partner.de/kanzlei;https://karriere.finkbeiner-partner.de
389;A;Steuerberatung Düsseldorf | Steuerberater Timo Unterberg - UBS Steuerberatung;ubs-tax.de;https://ubs-tax.de/steuerberatung-dusseldorf/;Düsseldorf;nrw;32;17;2;2;2;2;1;2;2;1;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, fibu, jahresabschluss, bilanz | Recruiting: stellenangebot, karriere, jobs, wir suchen | Digital: digitalisierung, datev, cloud, automatisierung;;;;https://ubs-tax.de/team/;https://ubs-tax.de/karriere/
8;A;Steuerberater München Daniela Anders Willkommen;steuer-anders.de;https://www.steuer-anders.de/;München;muenchen_stuttgart;31;14;2;2;2;1;1;2;1;1;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, rechnungswesen, jahresabschluss | Recruiting: stellenangebot, karriere, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev unternehmen online, datev, papierlos;;;;https://www.steuer-anders.de/ueber_uns_steuerberater_muenchen_daniela_anders.html#team-advantages;
146;A;schramm-und-partner.de;schramm-und-partner.de;https://www.schramm-und-partner.de/;Stuttgart;muenchen_stuttgart;31;14;2;2;2;1;1;0;2;0;2;2;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, jahresabschluss | Recruiting: karriere, offene stellen, bewerbung, steuerfachangestellte | Digital: digitalisierung, datev, papierlos, digital;;;;https://www.schramm-und-partner.de/team/;https://www.schramm-und-partner.de/karriere-stuttgart/
451;A;RESITAX | Revisionssichere Steuerberatung;resitax.de;https://resitax.de/;Dortmund;nrw;30;14;2;2;2;2;1;1;2;0;2;0;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: finanzbuchhaltung, buchführung, jahresabschluss, bilanz | Recruiting: karriere, wir suchen, bewerbung, steuerfachangestellte | Digital: digitalisierung, digitale kanzlei, datev, papierlos;;;;https://resitax.de/kanzlei/;https://resitax.de/karriere/
514;A;Digitalisierung von BONN & PARTNER: DATEV Dokumentenmanagemensystem & mehr;bonn-partner.de;https://bonn-partner.de/leistungen/digitalisierung;Bonn;nrw;29;13;1;2;2;2;1;0;2;0;2;1;Verified A: FiBu=JA, Recruiting=JA, Digital=JA;verified_tier=A | FiBu: fibu, buchführung | Recruiting: karriere, offene stellen, wir suchen, verstärkung | Digital: digitalisierung, datev unternehmen online, datev, dokumentenmanagement;;;;https://bonn-partner.de/ueber-uns;https://bonn-partner.de/karriere
